season	category	title	status	note	ceiling	have	released	description
1	Main Show	The Lost Boy (2)	ok		576p DVD	720x576 25fps AAC	2007-11-19	Luke is gone, the computer in the attic has stopped pretending, and Sarah Jane is on her own. The thing that has been living in her wall since the beginning wants the planet moved, and it needs Luke to do it.
2	Main Show	The Last Sontaran (1)	ok		576p DVD	720x576 25fps AAC	2008-09-29	A Sontaran survives the destruction of his fleet and lands beside a radio telescope in the English countryside. Commander Kaagh has no army left and nothing to lose, which makes him considerably more dangerous.
2	Main Show	The Last Sontaran (2)	ok		576p DVD	720x576 25fps AAC	2008-09-29	Kaagh has the observatory and enough of a plan to make his defeat mean something. Stopping him falls to a group with no weapons, at the end of a week when Maria's family have news of their own.
2	Main Show	The Day of the Clown (1)	ok		576p DVD	720x576 25fps AAC	2008-10-06	Children are disappearing from a new estate and the only thing they have in common is a clown nobody else can see. Rani Chandra has just moved in opposite Sarah Jane and walks straight into it on her first week.
2	Main Show	The Day of the Clown (2)	ok		576p DVD	720x576 25fps AAC	2008-10-13	The clown has taken enough children to work with and is old enough to have done this many times before. Sarah Jane has to face a fear she has carried since childhood to get anywhere near him.
2	Main Show	Secrets of the Stars (1)	ok		576p DVD	720x576 25fps AAC	2008-10-20	A television astrologer starts giving readings that come true within the hour, and the audience grows by the day. Martin Trueman is drawing on something far older than star signs, and he is only warming up.
2	Main Show	Secrets of the Stars (2)	ok		576p DVD	720x576 25fps AAC	2008-10-27	Trueman has half the country following his horoscopes and the power to make every one of them accurate. The one person immune to him is the one who has no birth date on any record.
2	Main Show	The Mark of the Berserker (1)	ok		576p DVD	720x576 25fps AAC	2008-11-03	Clyde's father turns up after years away, just as an alien pendant reaches Bannerman Road. Whoever wears it is obeyed absolutely, and Paul Langer has a great deal he would like to put right.
2	Main Show	The Mark of the Berserker (2)	ok		576p DVD	720x576 25fps AAC	2008-11-10	The pendant is rewriting the man who wears it a little more with every command, and it has started on the people around him. Clyde is the only one left who remembers who his father used to be.
2	Main Show	The Temptation of Sarah Jane Smith (1)	ok		576p DVD	720x576 25fps AAC	2008-11-17	The Trickster offers Sarah Jane the one thing she has wanted since she was a baby, which is an evening in 1951 with her parents. The price is small, immediate and entirely reasonable, which is how she knows what it is.
2	Main Show	The Temptation of Sarah Jane Smith (2)	ok		576p DVD	720x576 25fps AAC	2008-11-24	Sarah Jane's parents are alive, the world has gone wrong in her absence, and the creature that arranged it is waiting to be thanked. Undoing it means asking two people to go back and finish the night they died.
2	Main Show	Enemy of the Bane (1)	ok		576p DVD	720x576 25fps AAC	2008-12-01	Mrs Wormwood returns to Bannerman Road asking for sanctuary and offering a warning she says nobody else will give. Something called Horath is buried in Scotland, and she is not the only one who knows where.
2	Main Show	Enemy of the Bane (2)	ok		576p DVD	720x576 25fps AAC	2008-12-08	The race for Horath brings a Sontaran, a Bane and an old friend of Sarah Jane's with a UNIT record to the same stretch of hillside. Whoever reaches it first will be able to order the galaxy around.
2	Minisode	From Raxacoricofallapatorius with Love	ok		576p DVD	720x576 25fps AAC	2009-03-13	A Slitheen turns up on Bannerman Road with a grievance and a very short fuse. Sarah Jane has minutes to work out what he actually wants before he decides the street is not worth keeping.
3	Main Show	Prisoner of the Judoon (1)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-10-15	A Judoon captain lands in a quarry chasing an escaped prisoner who can wear any body he likes. Androvax is loose in the city, and the police officer hunting him has no interest in how much damage that takes.
3	Main Show	Prisoner of the Judoon (2)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-10-16	Androvax is inside somebody Sarah Jane trusts and building something in her own attic. The Judoon will burn the whole area to be sure of him, which gives everyone the same deadline.
3	Main Show	The Mad Woman in the Attic (1)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-10-22	An abandoned funfair on the edge of town has a girl living in it who nobody has reported missing. Rani follows a rumour there and meets an old woman who claims to be Rani herself, decades from now.
3	Main Show	The Mad Woman in the Attic (2)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-10-23	Eve is the last of her kind, alone since childhood, and able to bend luck around her without meaning to. Keeping her hidden has kept her safe, and the ship that has been waiting for her is out of patience.
3	Main Show	The Wedding of Sarah Jane Smith (1)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-10-29	Sarah Jane announces she is getting married, and the man she is marrying is charming, ordinary and entirely unexpected. Everyone is delighted except Luke, who cannot say why the whole thing feels arranged.
3	Main Show	The Wedding of Sarah Jane Smith (2)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-10-30	The wedding stops time and traps the Doctor between one second and the next. The Trickster has built the day around a choice Sarah Jane has to make in front of everyone she loves.
3	Main Show	The Eternity Trap (1)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-11-05	A locked manor house in the countryside has been throwing people out for two hundred years and swallowing the ones who stay. Sarah Jane goes in expecting a haunting and finds the science is worse than the ghost story.
3	Main Show	The Eternity Trap (2)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-11-06	The house is a machine and the man who built it is still inside it, still working. Getting anyone out means first understanding what he has spent two centuries doing to the people who never left.
3	Main Show	Mona Lisa's Revenge (1)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-11-12	A gallery opens a new exhibition and one of the paintings is missing its subject by the following morning. The Mona Lisa is walking around London, and she has come to collect her brother.
3	Main Show	Mona Lisa's Revenge (2)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-11-13	With the gallery sealed and the visitors turning into paint, Clyde is the only one who can draw his way out of it. What is trapped in the second painting is far worse than what escaped from the first.
3	Main Show	The Gift (1)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-11-19	A second family of Slitheen crash into Bannerman Road, and this branch of it arrives with gifts and apologies. The Blathereen are grateful, generous and very keen for Sarah Jane to try what they have brought.
3	Main Show	The Gift (2)	ok		1080p broadcast, no disc	1080p 25fps AAC	2009-11-20	The rakweed is spreading across London and its spores are putting people into a sleep they do not come out of. The only cure is in the hands of the family who planted it, and they have their own idea of a fair trade.
4	Main Show	The Nightmare Man (1)	ok		1080p Blu-ray	1080p 25fps AAC	2010-10-11	Luke has a place at Oxford and one last week on Bannerman Road before he goes. Something has got into his sleep and is feeding on how frightened he is of leaving, and it does not intend to stay in one head.
4	Main Show	The Nightmare Man (2)	ok		1080p Blu-ray	1080p 25fps AAC	2010-10-12	The Nightmare Man is out of Luke's dreams and into everyone else's, and the street has stopped waking up. Beating him means going back into the dream that let him in, with the one person he most wants left asleep.
4	Main Show	The Vault of Secrets (1)	ok		1080p Blu-ray	1080p 25fps AAC	2010-10-18	A group who meet to swap alien abduction stories have been sitting on genuine evidence for years without realising. Androvax is back and wants what is locked in a vault beneath their village hall.
4	Main Show	The Vault of Secrets (2)	ok		1080p Blu-ray	1080p 25fps AAC	2010-10-19	The vault is open, the men in black are real and considerably less human than advertised. Sarah Jane is on the wrong side of the door with the one prisoner nobody should be letting out.
4	Main Show	Death of the Doctor (1)	ok		1080p Blu-ray	1080p 25fps AAC	2010-10-25	Sarah Jane is told the Doctor is dead and invited to a funeral held by mourners in enormous robes. Jo Grant arrives at the same service, and neither of them believes a word of it.
4	Main Show	Death of the Doctor (2)	ok		1080p Blu-ray	1080p 25fps AAC	2010-10-26	The Shansheeth want a key that only someone who travelled with the Doctor can provide, and they have two of them in the same room. What they intend to build with it would go badly wrong for everybody.
4	Main Show	The Empty Planet (1)	ok		1080p Blu-ray	1080p 25fps AAC	2010-11-01	Clyde and Rani wake to a street with nobody in it, then a town, then a country. Two metal figures are walking towards them, and they appear to be looking for someone specific.
4	Main Show	The Empty Planet (2)	ok		1080p Blu-ray	1080p 25fps AAC	2010-11-02	The robots have found the child they came for and will not explain what happens next. Getting everyone back means persuading a boy who has just learned what he is to make a choice for a planet he has never seen.
4	Main Show	Lost in Time (1)	ok		1080p Blu-ray	1080p 25fps AAC	2010-11-08	A shop that is not on any street sends Sarah Jane, Clyde and Rani into three different centuries with an hour each to find what they were sent for. None of them knows what the others are looking for.
4	Main Show	Lost in Time (2)	ok		1080p Blu-ray	1080p 25fps AAC	2010-11-09	Clyde is in wartime Norfolk, Rani is with a queen who has nine days left and Sarah Jane is in a lighthouse with a child. Each of them can change what happens, and none of them is supposed to.
4	Main Show	Goodbye, Sarah Jane Smith (1)	ok		1080p Blu-ray	1080p 25fps AAC	2010-11-15	A new investigator arrives in the neighbourhood, cleverer and faster than Sarah Jane and happy to say so. Ruby White is very good company and everyone likes her, which is the first thing worth noticing.
4	Main Show	Goodbye, Sarah Jane Smith (2)	ok		1080p Blu-ray	1080p 25fps AAC	2010-11-16	Sarah Jane has handed everything over and stepped back, and the attic has a new occupant. What Ruby actually eats has been the point from the beginning, and nobody left is in a position to say so.
5	Main Show	Sky (1)	ok		1080p Blu-ray	1080p 25fps AAC	2011-10-03	A baby is left on the doorstep in the middle of a power cut, and the electricity in the whole street bends towards her. Sky is not what she appears to be, and two sides of a very long war are coming for her.
5	Main Show	Sky (2)	ok		1080p Blu-ray	1080p 25fps AAC	2011-10-04	Sky was built as a weapon and neither army intends to leave the planet without her. Sarah Jane is trying to give a frightened child a choice in a fight that was arranged long before she existed.
5	Main Show	The Curse of Clyde Langer (1)	ok		1080p Blu-ray	1080p 25fps AAC	2011-10-10	An old totem is pulled out of the Thames mud and Clyde is the one who touches it first. By the next morning everyone he knows despises him and cannot say why, including his mother.
5	Main Show	The Curse of Clyde Langer (2)	ok		1080p Blu-ray	1080p 25fps AAC	2011-10-11	Clyde is living on the street, unrecognised by anyone who ever cared about him, and the curse is spreading outward. The thing behind it is older than the city and is feeding on being forgotten.
5	Main Show	The Man Who Never Was (1)	ok		1080p Blu-ray	1080p 25fps AAC	2011-10-17	A tech launch promises a tablet that does everything and a founder nobody has ever met in person. Luke and Sky go in as work experience, and the man on stage turns out not to be a man at all.
5	Main Show	The Man Who Never Was (2)	ok		1080p Blu-ray	1080p 25fps AAC	2011-10-18	The company runs on workers who were sold with the building and cannot leave it. Freeing them means getting past a boss who is happy to let the product launch on schedule regardless.
5	Special	Farewell, Sarah Jane	ok		1080p YouTube	1080p 50fps AAC	2020-04-19	Years after her death, the people Sarah Jane trained gather at Bannerman Road to say goodbye properly. An old enemy sees a house full of grieving friends and decides it is the perfect afternoon to try again.
