season	category	title	status	note	best	best_reported	checked	have	source	released	description
1	Main Show	The Brink of Disaster	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Edge Of Destruction, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 3, container change only, nothing re-encoded	1964-02-15	After a violent jolt the TARDIS turns on its crew, locking doors, showing impossible images and setting them against one another. The Doctor is certain he has a saboteur aboard, and the ship will not let anyone leave.
1	Main Show	The Roof of the World	missing	wiped by the BBC; only the soundtrack and telesnaps survive	telesnap reconstruction only	no BBC release of any kind. All seven episodes were wiped and none has been animated, so John Cura telesnaps over the off-air soundtrack is the best that exists	2026-09-21	704x576 25fps AC-3	archive.org doctor-who-season-1-dvd | Marco Polo (disc 2) - Fanmade, MPEG-2 704x576 25fps, one AC-3 2.0 track, no subtitle track on the disc. MakeMKV title 0, container change only, nothing re-encoded	1964-02-22	On the roof of the world the travellers fall in with Marco Polo's caravan, and he takes the TARDIS as a gift to buy his way home from Kublai Khan's court. Without it they must cross Asia among men who want it for themselves.
1	Main Show	The Singing Sands	missing	wiped by the BBC; only the soundtrack and telesnaps survive	telesnap reconstruction only	no BBC release of any kind. All seven episodes were wiped and none has been animated, so John Cura telesnaps over the off-air soundtrack is the best that exists	2026-09-21	704x576 25fps AC-3	archive.org doctor-who-season-1-dvd | Marco Polo (disc 2) - Fanmade, MPEG-2 704x576 25fps, one AC-3 2.0 track, no subtitle track on the disc. MakeMKV title 1, container change only, nothing re-encoded	1964-02-29	On the roof of the world the travellers fall in with Marco Polo's caravan, and he takes the TARDIS as a gift to buy his way home from Kublai Khan's court. Without it they must cross Asia among men who want it for themselves.
1	Main Show	Five Hundred Eyes	missing	wiped by the BBC; only the soundtrack and telesnaps survive	telesnap reconstruction only	no BBC release of any kind. All seven episodes were wiped and none has been animated, so John Cura telesnaps over the off-air soundtrack is the best that exists	2026-09-21	704x576 25fps AC-3	archive.org doctor-who-season-1-dvd | Marco Polo (disc 2) - Fanmade, MPEG-2 704x576 25fps, one AC-3 2.0 track, no subtitle track on the disc. MakeMKV title 2, container change only, nothing re-encoded	1964-03-07	On the roof of the world the travellers fall in with Marco Polo's caravan, and he takes the TARDIS as a gift to buy his way home from Kublai Khan's court. Without it they must cross Asia among men who want it for themselves.
1	Main Show	The Wall of Lies	missing	wiped by the BBC; only the soundtrack and telesnaps survive	telesnap reconstruction only	no BBC release of any kind. All seven episodes were wiped and none has been animated, so John Cura telesnaps over the off-air soundtrack is the best that exists	2026-09-21	704x576 25fps AC-3	archive.org doctor-who-season-1-dvd | Marco Polo (disc 2) - Fanmade, MPEG-2 704x576 25fps, one AC-3 2.0 track, no subtitle track on the disc. MakeMKV title 3, container change only, nothing re-encoded	1964-03-14	On the roof of the world the travellers fall in with Marco Polo's caravan, and he takes the TARDIS as a gift to buy his way home from Kublai Khan's court. Without it they must cross Asia among men who want it for themselves.
1	Main Show	Rider from Shang-Tu	missing	wiped by the BBC; only the soundtrack and telesnaps survive	telesnap reconstruction only	no BBC release of any kind. All seven episodes were wiped and none has been animated, so John Cura telesnaps over the off-air soundtrack is the best that exists	2026-09-21	704x576 25fps AC-3	archive.org doctor-who-season-1-dvd | Marco Polo (disc 2) - Fanmade, MPEG-2 704x576 25fps, one AC-3 2.0 track, no subtitle track on the disc. MakeMKV title 4, container change only, nothing re-encoded	1964-03-21	On the roof of the world the travellers fall in with Marco Polo's caravan, and he takes the TARDIS as a gift to buy his way home from Kublai Khan's court. Without it they must cross Asia among men who want it for themselves.
1	Main Show	Mighty Kublai Khan	missing	wiped by the BBC; only the soundtrack and telesnaps survive	telesnap reconstruction only	no BBC release of any kind. All seven episodes were wiped and none has been animated, so John Cura telesnaps over the off-air soundtrack is the best that exists	2026-09-21	704x576 25fps AC-3	archive.org doctor-who-season-1-dvd | Marco Polo (disc 2) - Fanmade, MPEG-2 704x576 25fps, one AC-3 2.0 track, no subtitle track on the disc. MakeMKV title 5, container change only, nothing re-encoded	1964-03-28	On the roof of the world the travellers fall in with Marco Polo's caravan, and he takes the TARDIS as a gift to buy his way home from Kublai Khan's court. Without it they must cross Asia among men who want it for themselves.
1	Main Show	Assassin at Peking	missing	wiped by the BBC; only the soundtrack and telesnaps survive	telesnap reconstruction only	no BBC release of any kind. All seven episodes were wiped and none has been animated, so John Cura telesnaps over the off-air soundtrack is the best that exists	2026-09-21	704x576 25fps AC-3	archive.org doctor-who-season-1-dvd | Marco Polo (disc 2) - Fanmade, MPEG-2 704x576 25fps, one AC-3 2.0 track, no subtitle track on the disc. MakeMKV title 6, container change only, nothing re-encoded	1964-04-04	On the roof of the world the travellers fall in with Marco Polo's caravan, and he takes the TARDIS as a gift to buy his way home from Kublai Khan's court. Without it they must cross Asia among men who want it for themselves.
1	Main Show	The Sea of Death	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Keys Of Marinus, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 1, container change only, nothing re-encoded	1964-04-11	An old man guards a machine that has kept a whole world free of crime, and its keys have been scattered to stop it being seized. The travellers are sent to fetch them back, each from a place built to kill whoever comes.
1	Main Show	The Velvet Web	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Keys Of Marinus, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 2, container change only, nothing re-encoded	1964-04-18	An old man guards a machine that has kept a whole world free of crime, and its keys have been scattered to stop it being seized. The travellers are sent to fetch them back, each from a place built to kill whoever comes.
1	Main Show	The Screaming Jungle	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Keys Of Marinus, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 3, container change only, nothing re-encoded	1964-04-25	An old man guards a machine that has kept a whole world free of crime, and its keys have been scattered to stop it being seized. The travellers are sent to fetch them back, each from a place built to kill whoever comes.
1	Main Show	The Snows of Terror	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Keys Of Marinus, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 4, container change only, nothing re-encoded	1964-05-02	An old man guards a machine that has kept a whole world free of crime, and its keys have been scattered to stop it being seized. The travellers are sent to fetch them back, each from a place built to kill whoever comes.
1	Main Show	Sentence of Death	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Keys Of Marinus, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 5, container change only, nothing re-encoded	1964-05-09	An old man guards a machine that has kept a whole world free of crime, and its keys have been scattered to stop it being seized. The travellers are sent to fetch them back, each from a place built to kill whoever comes.
1	Main Show	The Keys of Marinus	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Keys Of Marinus, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 6, container change only, nothing re-encoded	1964-05-16	An old man guards a machine that has kept a whole world free of crime, and its keys have been scattered to stop it being seized. The travellers are sent to fetch them back, each from a place built to kill whoever comes.
1	Main Show	The Temple of Evil	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Aztecs (disc 1), MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 0, container change only, nothing re-encoded	1964-05-23	Barbara is mistaken for a reincarnated goddess in fifteenth-century Mexico and decides to use the authority to end human sacrifice. The Doctor warns her that history cannot be rewritten, and the high priest is already watching.
1	Main Show	The Warriors of Death	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Aztecs (disc 1), MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 1, container change only, nothing re-encoded	1964-05-30	Barbara is mistaken for a reincarnated goddess in fifteenth-century Mexico and decides to use the authority to end human sacrifice. The Doctor warns her that history cannot be rewritten, and the high priest is already watching.
1	Main Show	The Bride of Sacrifice	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Aztecs (disc 1), MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 2, container change only, nothing re-encoded	1964-06-06	Barbara is mistaken for a reincarnated goddess in fifteenth-century Mexico and decides to use the authority to end human sacrifice. The Doctor warns her that history cannot be rewritten, and the high priest is already watching.
1	Main Show	The Day of Darkness	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Aztecs (disc 1), MPEG-2 720x576 25fps, 3 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 4, container change only, nothing re-encoded	1964-06-13	Barbara is mistaken for a reincarnated goddess in fifteenth-century Mexico and decides to use the authority to end human sacrifice. The Doctor warns her that history cannot be rewritten, and the high priest is already watching.
1	Main Show	Strangers in Space	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Sensorites, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 1, container change only, nothing re-encoded	1964-06-20	A spaceship drifts near the Sense-Sphere with its crew held in a waking sleep by the planet below. The Sensorites fear what humans did the last time they came, and they will not let this ship leave either.
1	Main Show	The Unwilling Warriors	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Sensorites, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 2, container change only, nothing re-encoded	1964-06-27	A spaceship drifts near the Sense-Sphere with its crew held in a waking sleep by the planet below. The Sensorites fear what humans did the last time they came, and they will not let this ship leave either.
1	Main Show	Hidden Danger	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Sensorites, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 3, container change only, nothing re-encoded	1964-07-11	A spaceship drifts near the Sense-Sphere with its crew held in a waking sleep by the planet below. The Sensorites fear what humans did the last time they came, and they will not let this ship leave either.
1	Main Show	A Race Against Death	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Sensorites, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 4, container change only, nothing re-encoded	1964-07-18	A spaceship drifts near the Sense-Sphere with its crew held in a waking sleep by the planet below. The Sensorites fear what humans did the last time they came, and they will not let this ship leave either.
1	Main Show	Kidnap	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Sensorites, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 6, container change only, nothing re-encoded	1964-07-25	A spaceship drifts near the Sense-Sphere with its crew held in a waking sleep by the planet below. The Sensorites fear what humans did the last time they came, and they will not let this ship leave either.
1	Main Show	A Desperate Venture	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Sensorites, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 7, container change only, nothing re-encoded	1964-08-01	A spaceship drifts near the Sense-Sphere with its crew held in a waking sleep by the planet below. The Sensorites fear what humans did the last time they came, and they will not let this ship leave either.
1	Main Show	A Land of Fear	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Reign of Terror, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 0, container change only, nothing re-encoded	1964-08-08	The travellers arrive outside Paris at the height of the Terror and are swept up in arrests, betrayals and the queue for the guillotine. Getting back to the TARDIS means surviving a city where any name can be denounced.
1	Main Show	Guests of Madame Guillotine	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Reign of Terror, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 1, container change only, nothing re-encoded	1964-08-15	The travellers arrive outside Paris at the height of the Terror and are swept up in arrests, betrayals and the queue for the guillotine. Getting back to the TARDIS means surviving a city where any name can be denounced.
1	Main Show	A Change of Identity	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Reign of Terror, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 2, container change only, nothing re-encoded	1964-08-22	The travellers arrive outside Paris at the height of the Terror and are swept up in arrests, betrayals and the queue for the guillotine. Getting back to the TARDIS means surviving a city where any name can be denounced.
1	Animated Restoration	The Tyrant of France	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Reign of Terror, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 1 English VobSub track inside. MakeMKV title 5, container change only, nothing re-encoded	1964-08-29	The travellers arrive outside Paris at the height of the Terror and are swept up in arrests, betrayals and the queue for the guillotine. Getting back to the TARDIS means surviving a city where any name can be denounced.
1	Animated Restoration	A Bargain of Necessity	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Reign of Terror, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 1 English VobSub track inside. MakeMKV title 6, container change only, nothing re-encoded	1964-09-05	The travellers arrive outside Paris at the height of the Terror and are swept up in arrests, betrayals and the queue for the guillotine. Getting back to the TARDIS means surviving a city where any name can be denounced.
1	Main Show	Prisoners of Conciergerie	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Reign of Terror, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 4, container change only, nothing re-encoded	1964-09-12	The travellers arrive outside Paris at the height of the Terror and are swept up in arrests, betrayals and the queue for the guillotine. Getting back to the TARDIS means surviving a city where any name can be denounced.
2	Main Show	Planet of Giants	ok		1080p Blu-ray, The Collection season 2, VidFIRE restored	1080p Blu-ray. Doctor Who: The Collection - Season 2, December 2022, six discs, VidFIRE motion restoration, with optional CGI-effects versions of some episodes. No UHD release exists and none is announced	2026-09-21	1920x1080 25fps DTS	The Collection season 2 Blu-ray | 1080p25 HEVC off the disc, VidFIRE restored, 6 DTS 2.0 tracks (episode plus commentaries) and 2 English PGS tracks inside, 2.06 GB	1964-10-31	The TARDIS doors open early and the crew step out an inch tall into an English garden where a scientist has just been murdered. A pesticide that kills everything it touches is about to be licensed, and nobody their size can raise the alarm.
2	Main Show	Dangerous Journey	ok		1080p Blu-ray, The Collection season 2, VidFIRE restored	1080p Blu-ray. Doctor Who: The Collection - Season 2, December 2022, six discs, VidFIRE motion restoration, with optional CGI-effects versions of some episodes. No UHD release exists and none is announced	2026-09-21	1920x1080 25fps DTS	The Collection season 2 Blu-ray | 1080p25 HEVC off the disc, VidFIRE restored, 6 DTS 2.0 tracks (episode plus commentaries) and 2 English PGS tracks inside, 1.95 GB	1964-11-07	The TARDIS doors open early and the crew step out an inch tall into an English garden where a scientist has just been murdered. A pesticide that kills everything it touches is about to be licensed, and nobody their size can raise the alarm.
2	Main Show	Crisis	ok		1080p Blu-ray, The Collection season 2, VidFIRE restored	1080p Blu-ray. Doctor Who: The Collection - Season 2, December 2022, six discs, VidFIRE motion restoration, with optional CGI-effects versions of some episodes. No UHD release exists and none is announced	2026-09-21	1920x1080 25fps DTS	The Collection season 2 Blu-ray | 1080p25 HEVC off the disc, VidFIRE restored, 6 DTS 2.0 tracks (episode plus commentaries) and 2 English PGS tracks inside, 2.20 GB	1964-11-14	The TARDIS doors open early and the crew step out an inch tall into an English garden where a scientist has just been murdered. A pesticide that kills everything it touches is about to be licensed, and nobody their size can raise the alarm.
